REAL 	71.720,10
	Cart. 	Var. 	Nosso número 	Nome pagador 	Nro beneficiário 	Valor 	Vencimento 	Situação
	17 	019 	27697460000000116-3 	Titulo sem existenci 		3.003,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000119-8 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000120-1 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000122-8 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000123-6 	Titulo sem existenci 		566,00 	01/01/0001 	Liquidado
	17 	019 	27697460000000126-0 	Titulo sem existenci 		393,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000127-9 	Titulo sem existenci 		903,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000128-7 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000130-9 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000131-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000133-3 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000135-X 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000149-X 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000150-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000151-1 	Titulo sem existenci 		523,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000153-8 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000154-6 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000155-4 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000156-2 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000159-7 	Titulo sem existenci 		5.403,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000160-0 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000161-9 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000162-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000163-5 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000164-3 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000165-1 	Titulo sem existenci 		263,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000167-8 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000168-6 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000171-6 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000175-9 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000176-7 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000177-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000180-5 	Titulo sem existenci 		303,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000181-3 	Titulo sem existenci 		122,75 	01/01/0001 	Liquidado
	17 	019 	27697460000000182-1 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000183-X 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000185-6 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000186-4 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000187-2 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000188-0 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000189-9 	Titulo sem existenci 		753,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000191-0 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000192-9 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000193-7 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
